timestamp,used_gb,total_gb,sent_gb
2025-11-27 12:24:25,0.0595,20,0.0196
2025-11-27 12:27:01,0.0790,20,0.0196
2025-11-27 12:34:34,0.0986,20,0.0196
2025-11-27 12:37:20,0.1181,20,0.0196
2025-11-27 12:37:52,0.1376,20,0.0196
2025-11-27 12:38:46,0.1572,20,0.0196
2025-11-27 12:41:30,0.1767,20,0.0196
2025-11-27 12:44:40,0.1962,20,0.0196
2025-11-27 13:03:12,0.2149,20,0.0196
2025-11-27 13:03:32,0.2344,20,0.0196
